text,annotation
"""ተወልደን ያደግንበትን፣ ተከብረን የኖርንበትን መሬታችንን አንለቅም- የሌላ ዜጋም አንሆንም"" የባድመ ነዋሪዎች","[('የባድመ', 'LOC')]"
""" ባድመ የኢትዮጵያ መሬት ነው፣ ሕዝቧም ኢትዮጵያዊ ነው። እኛም ተወልደን ያደግንበትን ተከብረን የኖርንብትን መሬታችንን አንለቅም የሌላ ሀገር ዜጋም አንሆንም"" በማለት በባድመ የሚኖሩ አንዳንድ ነዋሪዎች በሥፍራው ተገኝቶ ለነበረው ተባባሪ ሪፖርተራችን አስታወቁ።","[('ባድመ', 'LOC'), ('በባድመ', 'LOC')]"
ተባባሪ ሪፖርተራችን በሥፍራው ባደረገው የአጭር ጊዜ ቆይታ በባድመ የተለያዩ የልማት ሥራዎችና የግንባታ ክንውኖች እየተካሄዱ መሆኑን ተመልክቷል። በአካባቢው ነዋሪ የሆኑ የጦር ጉዳተኞች መማሪያ ት/ ቤት እየተሠራ መሆኑና አብዛኛውም ሰው የራሱን ጐጆ ለመቀለስ ከታች ላይ እያለ እንደሚገኝ ገልጧል። በጦርነት ከወደመች በኋላ እንደገና በማንሰራራቱ ላይ በምትገኘው ባድመ የሚገኘው ኅብረተሰብ በኢትዮጵያ አካልነት ቀጣይ ሕይወቷ እንዲለመልም ብርቱ ፍላጐት እንዳላቸውና በተቃራኒው ለሚከሰቱ ሁኔታዎችም እስከመስዋዕትነት ራሳቸውን ያዘጋጁ መሆናቸውን አጥብቀው እንደሚናገሩ ሪፖርተሩ አስታውቋል።,"[('በባድመ', 'LOC'), ('ባድመ', 'LOC')]"
"የሄጉ አለም አቀፍ የድንበር ኮሚሽን ባድመን ወደኤርትራ የከለለውን ውሳኔ አጥብቀው የሚቃወሙት ነዋሪዎች"" የኢትዮጵያ ሕዝብ ያንን ሁሉ መስዋዕትነት ለምን ከፈለ? በኋላስ መብታችንን አስከበርን መሬታችንንም አስመለስን ተብሎ ለምን እንድንጨፍር ተደረገ? ከዚህ ሁሉ የሚገርመው ደግሞ የሃገራችን የታሪክ ሰዎች ባልተሳተፉበት ሁኔታ በድርድር በራሳችን ላይ መወሰኑ ነው። አሁንም ቢሆን ጉዳዩ"" ባድመ ቢሄድ እንደግፋለሁ"" አልደግፍም"" በሚል ሽፍንፍን ሥራ ህልውናችንን አናጣም"" በማለት የምሬት ቃል እንደሚናገሩ ሪፖርተሩ ገልጧል።","[('የሄጉ', 'LOC'), ('ባድመን', 'LOC'), ('ባድመ', 'LOC')]"
"ተባባሪ ሪፖርተሩ እንዳስታወቀው የባድመ ጉዳይ በባድመ ብቻ የሚብላላ ሳይሆን በአዲግራት፣ በአድዋ፣ በመቀሌ፣ ነዋሪዎችና በክልሉ በሚገኙ የጦሩ አባላትም ዘንድ ነው። ባድመ ወደ ኤርትራ ይሂድ በሚለው ላይ አንድ አቋም አልያዙም። በቅርቡ በመቀሌ ከተማ በተካሄደ አንድ ስብሰባ ላይ ሌተና ጀኔራል ሣሞራ የኑስ እና ሌሎችም ከፍተኛ የአመራርና የህዝብ ተወካዮች ተገኝተው የነበረ ቢሆንም በባድመ ላይ ቁርጠኛ አቋም በመያዝ"" ወደኤርትራ ይከለል"" የሚለውን ውሳኔ ለመወሰን አለመቻላቸውን ሪፖርተሩ ካገኘው የቅርብ መረጃ በመነሳት ዘግቧል። በትግራይ ከፍተኛ ባለሥልጣናት ዘንድም ልዩነት እንደሚታይ ሪፖርተሩ አያይዞ አስታውቋል።","[('የባድመ', 'LOC'), ('በባድመ', 'LOC'), ('በአዲግራት', 'LOC'), ('በአድዋ', 'LOC'), ('በመቀሌ', 'LOC'), ('ባድመ', 'LOC'), ('ሌተና ጀኔራል', 'TTL'), ('ሣሞራ የኑስ', 'PER'), ('በባድመ', 'LOC')]"
የአዲስ አበባ ዩኒቨርስቲ ሴኔት ከ4ሺ በላይ ተማሪዎችን ለአንድ ዓመት ቀጣ- የፕሬዝዳንቱ ምክትሎች ይነሳሉ,"[('የአዲስ አበባ ዩኒቨርስቲ', 'ORG'), ('ለአንድ ዓመት', 'TIME')]"
ዩኒቨርስቲው በአዲስ አመራር ተጠናክሮና ልዩ ፕሮግራም አዘጋጅቶ ትምርህታቸውን ያቋረጡትን ተማሪዎች ያስተናግዳል ተብሎ ሲጠበቅ ከ1ኛ እስከ 3ኛ ዓመት በልዩ ልዩ የትምህርት ክፍሎች ትምህርት ያቋረጡ ከ4 ሺህ በላይ ተማሪዎች ለአንድ ዓመት መቀጣታቸው ተማሪዎችን ወላጆችንና መምህራኑን በእጅጉ ያሳዘነ ውሳኔ ሆኗል።,"[('ለአንድ ዓመት', 'TIME')]"
ለምሳሌ ፈተና የተቀመጡና ወደ2ኛ ዓመት አልፈዋል የተባሉ 150 የማይሞሉ የ1993 የማህበራዊ ሳይንስ፣ 200 የማይሞሉ የተፈጥሮ ሳይንስ የሜጀምሪያ ዓመት ተማሪዎች ዩኒቨርስቲው ለሚያካሂዳቸው ከ40 ያላነሱ ልዩ ልዩ የትምህርት ዘርፎች በምን ሁኔታ እንደሚመደቡ ገና በውል አለመታወቁ ተመልክቷል። አብዛኛዎቹ መምህራንም ሥራ ፈተው ሴምስተሩን እንደሚያሳልፉ ታውቋል። ከሕግ፣ ከሕክምና፣ ከማታ ትምህርትና ከድህረ ምረቃ ተማሪዎች በቀር ዩኒቨርስቲው በ1994 ተመራቂ ተማሪዎች እንደማይኖሩት ለማወቅ ተችሏል።,"[('የ1993', 'TIME'), ('በ1994', 'TIME')]"
የዩኒቨርስቲው ሴኔት ይህን አማራጭ የወሰደው በገንዘብ እጥረት ነው እንዳይባል ዩኒቨርስቲው በ1993 ከተመደበለት አጠቃላይ ባጀት ውስጥ ከ9 ሚሊዮን ብር ያላነሰ ተመላሽ ማድረጉ ይነገራል።,"[('በ1993', 'TIME')]"
ይህ በእንዲህ እንዳለ አዲሱ የዩኒቨርስቲው ፕሬዝዳንት እሸቱ ወንጨቆ ምክቶላቸውን የመለወጥ ሀሳብ እንዳላቸውና ጉዳዩንም ለውሳኔ ለዩኒቨርስቲው አመራር ቦርድ ማቅረባቸውን ውስጥ አዋቂ ምንጮች ይናገራሉ። በቀረበው ጥያቄ መሰረት የዩኒቨርስቲው አመራር ቦርድ ቀደም ሲል የነበሩት ምክትሎቻቸው እንዲነሱ ወስኗል የሚል ጭምጭምታ ቢኖርም ይህ ጋዜጣ ለሕትመት እስከገባበት ጊዜ ድረስ ውሳኔው መተላለፉና ተተክዊኦቹ እንደማን እንደሆኑ የታወቀ ነገር የለም። ከተማሪዎቹ ጥያቄዎች አንዱ የአመራር ለውጥ እንደነበረ ይታወሳል።,"[('እሸቱ ወንጨቆ', 'PER')]"
